Country Name,Country Code,Series Name,Series Code,Year,Value
China,CHN,"Population, total",SP.POP.TOTL,1990,1135185000
China,CHN,"Population, total",SP.POP.TOTL,1991,1150780000
China,CHN,"Population, total",SP.POP.TOTL,1992,1164970000
China,CHN,"Population, total",SP.POP.TOTL,1993,1178440000
China,CHN,"Population, total",SP.POP.TOTL,1994,1191835000
China,CHN,"Population, total",SP.POP.TOTL,1995,1204855000
China,CHN,"Population, total",SP.POP.TOTL,1996,1217550000
China,CHN,"Population, total",SP.POP.TOTL,1997,1230075000
China,CHN,"Population, total",SP.POP.TOTL,1998,1241935000
China,CHN,"Population, total",SP.POP.TOTL,1999,1252735000
China,CHN,"Population, total",SP.POP.TOTL,2000,1262645000
China,CHN,"Population, total",SP.POP.TOTL,2001,1271850000
China,CHN,"Population, total",SP.POP.TOTL,2002,1280400000
China,CHN,"Population, total",SP.POP.TOTL,2003,1288400000
China,CHN,"Population, total",SP.POP.TOTL,2004,1296075000
China,CHN,"Population, total",SP.POP.TOTL,2005,1303720000
China,CHN,"Population, total",SP.POP.TOTL,2006,1311020000
China,CHN,"Population, total",SP.POP.TOTL,2007,1317885000
China,CHN,"Population, total",SP.POP.TOTL,2008,1324655000
China,CHN,"Population, total",SP.POP.TOTL,2009,1331260000
China,CHN,"Population, total",SP.POP.TOTL,2010,1337705000
China,CHN,"Population, total",SP.POP.TOTL,2011,1345035000
China,CHN,"Population, total",SP.POP.TOTL,2012,1354190000
China,CHN,"Population, total",SP.POP.TOTL,2013,1363240000
China,CHN,"Population, total",SP.POP.TOTL,2014,1371860000
China,CHN,"Population, total",SP.POP.TOTL,2015,1379860000
China,CHN,"Population, total",SP.POP.TOTL,2016,1387790000
China,CHN,"Population, total",SP.POP.TOTL,2017,1396215000
China,CHN,"Population, total",SP.POP.TOTL,2018,1402760000
China,CHN,"Population, total",SP.POP.TOTL,2019,1407745000
China,CHN,"Population, total",SP.POP.TOTL,2020,1411100000
China,CHN,"Population, total",SP.POP.TOTL,2021,1412360000
China,CHN,"Population, total",SP.POP.TOTL,2022,1412175000
China,CHN,"Population, total",SP.POP.TOTL,2023,1410710000
China,CHN,"Population, total",SP.POP.TOTL,2024,1408975000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1990,361560229445.507
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1991,384510452961.672
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1992,428502354788.069
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1993,446557291212.148
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1994,566929539493.172
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1995,738190896227.55
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1996,868523936530.083
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1997,967753570434.667
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1998,1037134141760.35
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1999,1103843203575.64
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2000,1223754919971.05
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2001,1355036590251.52
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2002,1489821682050.54
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2003,1683903309843.85
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2004,1984196551300.44
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2005,2317551298052.05
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2006,2791498472804.33
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2007,3604055822571.63
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2008,4667346414521.95
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2009,5189577094997.58
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2010,6192564874453.29
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2011,7671757207851.29
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2012,8673664713189.24
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2013,9743124247267.24
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2014,10674533168257.4
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2015,11280814787468.9
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2016,11456024084962
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2017,12537559062282.9
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2018,14147765772963.8
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2019,14560167101283.4
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2020,14996414166715.1
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2021,18201698719564
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2022,18316765021690.2
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2023,18270356654533.2
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2024,18743803170827.2
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,3.9416305983694
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,9.36170212784847
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,14.2996108947926
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,13.9290780143689
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,13.0727091631599
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,11.0328121562746
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,9.97619992053447
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,9.2876465280865
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,7.92079207933551
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,7.7370030581299
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,8.58643201808462
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,8.31263887091522
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,9.24339326638321
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,10.1181928640117
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,10.1314073631003
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,11.458238455067
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,12.6746751655235
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2007,14.1499854947127
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,9.67024588602851
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,9.40269972778044
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,10.5962719761682
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,9.4613358870736
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,7.85617427055587
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,7.77872409446717
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,7.46190028229434
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,6.97878002657477
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,6.77555562837017
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,6.8912663621211
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,6.75671800166833
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,6.06850235053705
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,2.34018843078414
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,8.57008513166322
