Country,Year,arrivals_from_china,visa_free,peace_index,CPI_destination,perception_score,gdp_china,exchange_rate,CPI_china,RER
Australia,1995,42600.0,,,67.63787721,,612.680278,,52.8,
Australia,1996,54000.0,,,69.40686785,,713.337388,,58.3,
Australia,1997,65843.0,,,69.56295525,,786.743549,,60.8,
Australia,1998,76544.0,,,70.16129032,,835.095349,,59.9,
Australia,1999,92585.0,,,71.20187305,,881.146614,,58.6,
Australia,2000,120259.0,,,74.37565036,,969.199514,4.799554736939836,58.9,6.060611290294041
Australia,2001,157955.0,,,77.65348595,,1065.40598,4.280965169639128,59.7,5.568373009263172
Australia,2002,190016.0,,,79.96878252,,1163.55958,4.497049135794085,59.0,6.095314310543579
Australia,2003,176128.0,,,82.15400624,,1306.97245,5.368132790494038,60.1,7.337996917926719
Australia,2004,251300.0,,,84.07908429,,1530.92726,6.08699009562402,63.5,8.059662257045153
Australia,2005,285031.0,,,86.34235172,,1777.64497,6.257172096226262,64.8,8.337329535570024
Australia,2006,308484.0,,,89.41207076,,2129.25697,6.003358014446917,65.5,8.195002619623525
Australia,2007,357557.0,,,91.49323621,,2734.7271,6.364300073844893,69.5,8.378279280109515
Australia,2008,356428.0,,1.43,95.47346514,,3523.44302,5.827735505406136,75.1,7.408709755266751
Australia,2009,356240.0,,1.476,97.16441207,,3898.24459,5.327374522945649,74.5,6.948069978506185
Australia,2010,445860.0,,1.467,100.0,,4629.24552,6.20973360956472,100.0,6.20973360956472
Australia,2011,533370.0,,1.455,103.3038502,,5703.76028,6.666575884468989,105.4,6.533993894839818
Australia,2012,618820.0,,1.494,105.1248699,,6405.05742,6.532712017740447,108.2,6.347047143799731
Australia,2013,720750.0,,1.438,107.7003122,,7147.03519,5.93506875491588,110.9,5.763830097681746
Australia,2014,851020.0,,1.414,110.3798127,,7781.06597,5.554537489100065,112.9,5.430547455110659
Australia,2015,1031910.0,,1.329,112.0447451,,8175.33285,4.719965414336417,114.4,4.622791273864857
Australia,2016,1208250.0,,1.465,113.4755463,,8254.86859,4.936017703104803,116.4,4.812004341978426
Australia,2017,1356890.0,,1.425,115.6867846,,8979.67653,5.178661177967936,118.1,5.072842169449271
Australia,2018,1432192.0,,1.435,117.8980229,,10085.6638,4.937940842625916,120.3,4.839347153306363
Australia,2019,1438666.0,,1.419,119.7970864,,10342.901,4.802272209892707,123.2,4.669628399714575
Australia,2020,207696.0,,1.386,120.8116545,,10627.4638,4.751407824961291,126.0,4.555757464585873
Australia,2021,6531.0,,1.47,124.2715921,,12887.4357,4.845765055393447,126.9,4.745397465534188
Australia,2022,89262.0,,1.565,132.4661811,,12970.6056,4.667521598380473,129.0,4.79293613441263
Australia,2023,535790.0,,1.525,139.880333,,12951.1782,4.7043197105981225,129.2,5.0932028456418665
Australia,2024,891550.0,,1.536,144.3028096,,13303.1482,4.748514750183076,129.5,5.29130517280664
Cambodia,1995,22886.0,,,44.50992708,,612.680278,,52.8,
Cambodia,1996,22029.0,,,47.69277028,,713.337388,,58.3,
Cambodia,1997,17282.0,,,51.48921684,,786.743549,,60.8,
Cambodia,1998,18035.0,,,59.11296956,,835.095349,,59.9,
Cambodia,1999,26805.0,,,61.48233975,,881.146614,,58.6,
Cambodia,2000,30586.0,,,60.99540422,,969.199514,0.0021554123543578,58.9,0.002232092492611815
Cambodia,2001,32002.0,,,60.62903636,,1065.40598,0.0021134564645598,59.7,0.002146345541626016
Cambodia,2002,54045.0,,,60.7572465,,1163.55958,0.00211577803831,59.0,0.0021787940307269006
Cambodia,2003,38664.0,,,61.32942551,,1306.97245,0.0020831879196378,60.1,0.002125802301842901
Cambodia,2004,46325.0,,,63.97844994,,1530.92726,0.0020608278867102,63.5,0.0020763554926747168
Cambodia,2005,59153.0,,,68.21079019,,1777.64497,0.0020021014050091,64.8,0.002107483315990431
Cambodia,2006,80540.0,,,72.17430468,,2129.25697,0.001942923292512,65.5,0.002140902865398929
Cambodia,2007,118417.0,,,78.45984053,,2734.7271,0.0018751201872149,69.5,0.0021168579980354644
Cambodia,2008,129626.0,,2.019,97.36619212,,3523.44302,0.0017137183965703,75.1,0.0022218140431430385
Cambodia,2009,128210.0,,2.179,96.15717903,,3898.24459,0.0016501932679698,74.5,0.002129905093990239
Cambodia,2010,177636.0,,2.252,100.0,,4629.24552,0.0016176188293978,100.0,0.0016176188293978
Cambodia,2011,247197.0,,2.301,105.4784475,,5703.76028,0.0015924602685721,105.4,0.0015936455107629806
Cambodia,2012,333894.0,,2.207,108.5735186,,6405.05742,0.0015644185469873,108.2,0.0015698190962061976
Cambodia,2013,463123.0,,2.263,111.7673444,,7147.03519,0.0015265503755664,110.9,0.001538489464110723
Cambodia,2014,560335.0,,2.201,116.0767452,,7781.06597,0.0015261919504643,112.9,0.0015691354664334417
Cambodia,2015,694712.0,,2.179,117.4974456,,8175.33285,0.0015445147808985,114.4,0.0015863334042571454
Cambodia,2016,830003.0,,2.161,121.0448577,,8254.86859,0.0016359940051552,116.4,0.0017012771611002082
Cambodia,2017,1210782.0,,2.065,124.5704532,,8979.67653,0.0016681314832329,118.1,0.0017595249353387855
Cambodia,2018,2024443.0,,2.101,127.6337468,,10085.6638,0.0016313818124846,120.3,0.0017308343573465047
Cambodia,2019,2361849.0,,2.066,130.113128,,10342.901,0.0017010210812107,123.2,0.0017964705655054076
Cambodia,2020,329673.0,,2.011,133.938838,,10627.4638,0.0016869205209668,126.0,0.0017932077331479987
Cambodia,2021,45775.0,,2.008,137.8508362,,12887.4357,0.001573856130956,126.9,0.0017096720544584815
Cambodia,2022,106875.0,,1.882,145.217175,,12970.6056,0.0016404041653086,129.0,0.0018466268119716892
Cambodia,2023,547798.0,,1.947,148.3066239,,12951.1782,0.0017225731380229,129.2,0.0019773142919582436
Cambodia,2024,848952.0,,2.028,152.829,,13303.1482,0.0017669445237535,129.5,0.002085253780855009
Indonesia,1995,,,,19.3878592,,612.680278,,52.8,
Indonesia,1996,,,,20.93370769,,713.337388,,58.3,
Indonesia,1997,,,,22.23707205,,786.743549,,60.8,
Indonesia,1998,,,,35.23487223,,835.095349,,59.9,
Indonesia,1999,17875.0,,,42.45021033,,881.146614,,58.6,
Indonesia,2000,16266.0,,,44.01603744,,969.199514,0.0009829756791175,58.9,0.0007345788505033158
Indonesia,2001,18028.0,,,49.07793283,,1065.40598,0.0008066583177806,59.7,0.0006631343842009561
Indonesia,2002,19840.0,,,54.91826574,,1163.55958,0.0008889409966003,59.0,0.0008274423369233171
Indonesia,2003,31497.0,,,58.62926461,,1306.97245,0.0009650310515931,60.1,0.0009414153224745161
Indonesia,2004,39936.0,,,62.18457951,,1530.92726,0.0009259356628649,63.5,0.0009067546432845186
Indonesia,2005,128681.0,,,68.68485809,,1777.64497,0.0008442883160776,64.8,0.0008949046786548616
Indonesia,2006,182341.0,,,77.68853015,,2129.25697,0.0008704033597531,65.5,0.0010323718726235117
Indonesia,2007,269216.0,,,82.66569313,,2734.7271,0.0008320533858439,69.5,0.000989672947653947
Indonesia,2008,354641.0,,1.668,91.11963773,,3523.44302,0.0007163343501946,75.1,0.0008691361715484274
Indonesia,2009,444598.0,,1.853,95.11652148,,3898.24459,0.0006574341760958,74.5,0.0008393671400309029
Indonesia,2010,511188.0,,1.946,100.0,,4629.24552,0.0007446949723975,100.0,0.0007446949723975
Indonesia,2011,594997.0,,1.979,105.3560485,,5703.76028,0.0007369077164844,105.4,0.0007366004280640863
Indonesia,2012,726088.0,,1.913,109.8647756,,6405.05742,0.00067215822504,108.2,0.000682500116097171
Indonesia,2013,858140.0,,1.879,116.9098484,,7147.03519,0.000587674118938,110.9,0.0006195211195098751
Indonesia,2014,1052705.0,,1.853,124.38615,,7781.06597,0.0005193333556562,112.9,0.0005721689696780818
Indonesia,2015,1260700.0,,1.768,132.3009907,,8175.33285,0.0004692289369335,114.4,0.0005426525631242121
Indonesia,2016,1556771.0,,1.799,136.9656651,,8254.86859,0.0004989357490079,116.4,0.0005870882019332791
Indonesia,2017,2093171.0,,1.85,142.1824114,,8979.67653,0.000504968528912,118.1,0.0006079393998460524
Indonesia,2018,2139161.0,,1.853,146.7298991,,10085.6638,0.0004642149626945,120.3,0.0005662029479374418
Indonesia,2019,2072079.0,,1.785,151.1766728,,10342.901,0.0004882853032288,123.2,0.000599166781812249
Indonesia,2020,239768.0,,1.831,154.0790159,,10627.4638,0.0004734675396762,126.0,0.0005789794648722468
Indonesia,2021,54713.0,,1.783,156.48277,,12887.4357,0.0004508481355153,126.9,0.0005559492915269465
Indonesia,2022,169378.0,,1.8,163.0698569,,12970.6056,0.0004531357700343,129.0,0.0005728122881842218
Indonesia,2023,787924.0,,1.829,169.0535202,,12951.1782,0.0004647209818808,129.2,0.0006080705719640067
Indonesia,2024,1197534.0,,1.857,172.7414443,,13303.1482,0.0004538313813894,129.5,0.0006053705659449352
Japan,1995,220715.0,,,101.1307523,,612.680278,,52.8,
Japan,1996,241525.0,,,101.2688973,,713.337388,,58.3,
Japan,1997,260627.0,,,103.0388797,,786.743549,,60.8,
Japan,1998,267180.0,,,103.7209705,,835.095349,,59.9,
Japan,1999,294937.0,,,103.366974,,881.146614,,58.6,
Japan,2000,351788.0,,,102.6676151,,969.199514,0.0768186491093318,58.9,0.13390131577689024
Japan,2001,391384.0,,,101.9078177,,1065.40598,0.0681072301724657,59.7,0.11625894801453222
Japan,2002,452420.0,,,100.9667051,,1163.55958,0.0660118889572505,59.0,0.11296615127865522
Japan,2003,448782.0,,,100.7076833,,1306.97245,0.071396124122719,60.1,0.11963624387684318
Japan,2004,616009.0,,,100.6990493,,1530.92726,0.0765006327255236,63.5,0.12131560608360148
Japan,2005,652820.0,,,100.4141253,,1777.64497,0.0743398016863305,64.8,0.11519700866216577
Japan,2006,811675.0,,,100.664513,,2129.25697,0.0685498468001681,65.5,0.10535170907425237
Japan,2007,942439.0,,,100.7249514,,2734.7271,0.0645908454011754,69.5,0.09361021243047922
Japan,2008,1000416.0,,1.464,102.1150352,,3523.44302,0.067218788822631,75.1,0.09139878810551706
Japan,2009,1006085.0,,1.272,100.7335855,,3898.24459,0.0730008923410334,74.5,0.09870659906324541
Japan,2010,1412875.0,,1.247,100.0,,4629.24552,0.0771201827298113,100.0,0.0771201827298113
Japan,2011,1043246.0,,1.287,99.72754438,,5703.76028,0.0809828510545448,105.4,0.07662448645693591
Japan,2012,1425100.0,,1.326,99.68359993,,6405.05742,0.0790733674446296,108.2,0.07284951871967045
Japan,2013,1314437.0,,1.293,100.0175778,,7147.03519,0.0629925563119015,110.9,0.05681120740979701
Japan,2014,2409158.0,,1.316,102.7772895,,7781.06597,0.0581623742277592,112.9,0.05294748604086578
Japan,2015,4993689.0,,1.322,103.5946564,,8175.33285,0.0519042551969584,114.4,0.04700177869603863
Japan,2016,6373564.0,,1.395,103.462823,,8254.86859,0.0610333946424812,116.4,0.05424989095347234
Japan,2017,7355818.0,,1.408,103.9637898,,8979.67653,0.0602401039541512,118.1,0.05302954703657514
Japan,2018,8380034.0,,1.391,104.99209,,10085.6638,0.0598515641543387,120.3,0.052235584458296784
Japan,2019,9594394.0,,1.369,105.4842679,,10342.901,0.0633714445683848,123.2,0.054258850942057645
Japan,2020,1069256.0,,1.36,105.4579012,,10627.4638,0.0646614564185469,126.0,0.054119535574882735
Japan,2021,42239.0,,1.373,105.2118123,,12887.4357,0.0587749054128836,126.9,0.04872982124704935
Japan,2022,189125.0,,1.336,107.8396906,,12970.6056,0.0511718263051573,129.0,0.04277793733476825
Japan,2023,2425157.0,,1.336,111.3640359,,12951.1782,0.0504010573976564,129.2,0.04344322883460193
Japan,2024,6981342.0,,1.525,114.413781,,13303.1482,0.0475383253312225,129.5,0.042000305355623505
"Korea, Republic of",1995,178359.0,,,60.19805648,,612.680278,,52.8,
"Korea, Republic of",1996,199604.0,,,63.16253599,,713.337388,,58.3,
"Korea, Republic of",1997,214244.0,,,65.96627791,,786.743549,,60.8,
"Korea, Republic of",1998,210662.0,,,70.92270703,,835.095349,,59.9,
"Korea, Republic of",1999,316639.0,,,71.49927832,,881.146614,,58.6,
"Korea, Republic of",2000,442794.0,,,73.11456556,,969.199514,0.0073236682922513,58.9,0.00909111758053482
"Korea, Republic of",2001,482227.0,,,76.08782485,,1065.40598,0.0064123521254425,59.7,0.008172561564442113
"Korea, Republic of",2002,539466.0,,,78.18957,,1163.55958,0.006613201875196,59.0,0.008764125609233371
"Korea, Republic of",2003,513236.0,,,80.93783527,,1306.97245,0.0069460235338229,60.1,0.009354344568420983
"Korea, Republic of",2004,627264.0,,,83.84404017,,1530.92726,0.0072207686062379,63.5,0.00953414823747536
"Korea, Republic of",2005,709836.0,,,86.15293033,,1777.64497,0.0079989977198063,64.8,0.010634831686177487
"Korea, Republic of",2006,896969.0,,,88.08477219,,2129.25697,0.008344979846053,65.5,0.01122237631556824
"Korea, Republic of",2007,1068925.0,,,90.31734577,,2734.7271,0.0081837720838872,69.5,0.010635058604364226
"Korea, Republic of",2008,1167891.0,,1.73,94.53868508,,3523.44302,0.0063153684711265,75.1,0.00795002171845525
"Korea, Republic of",2009,1342317.0,,1.627,97.14464067,,3898.24459,0.0053479916109462,74.5,0.006973539910758967
"Korea, Republic of",2010,1875157.0,,1.715,100.0,,4629.24552,0.0058537260259758,100.0,0.0058537260259758
"Korea, Republic of",2011,2220196.0,,1.829,104.025965,,5703.76028,0.005831804375081,105.4,0.005755778726840825
"Korea, Republic of",2012,2836892.0,,1.734,106.3010868,,6405.05742,0.0055992746446893,108.2,0.005501007209077231
"Korea, Republic of",2013,4326869.0,,1.822,107.6844333,,7147.03519,0.0056145189534992,110.9,0.005451724903153024
"Korea, Republic of",2014,6126865.0,,1.849,109.057167,,7781.06597,0.0058527411572508,112.9,0.00565352851899091
"Korea, Republic of",2015,5984170.0,,1.701,109.8274724,,8175.33285,0.0055552288889232,114.4,0.005333188352044541
"Korea, Republic of",2016,8067722.0,,1.858,110.8946503,,8254.86859,0.0057203531284258,116.4,0.0054497986234475085
"Korea, Republic of",2017,4169353.0,,1.823,113.0508108,,8979.67653,0.0059742661568844,118.1,0.005718845325747514
"Korea, Republic of",2018,4789512.0,,1.823,114.7192592,,10085.6638,0.0060072898284822,120.3,0.005728610464864281
"Korea, Republic of",2019,6023021.0,,1.867,115.1586343,,10342.901,0.0059278805001898,123.2,0.005540962846554044
"Korea, Republic of",2020,686430.0,,1.829,115.7773678,,10627.4638,0.0058496991160465,126.0,0.0053751013180781786
"Korea, Republic of",2021,170215.0,,1.877,118.6698724,,12887.4357,0.0056390494337205,126.9,0.005273327634018155
"Korea, Republic of",2022,227358.0,,1.779,124.7095918,,12970.6056,0.0052104358406308,129.0,0.005037142068101991
"Korea, Republic of",2023,2019424.0,,1.763,129.1959648,,12951.1782,0.0054232238423022,129.2,0.0054230544631005875
"Korea, Republic of",2024,,,1.848,132.1955634,,13303.1482,0.0052778582561657,129.5,0.005387717727561129
Malaysia,1995,,,,69.01064107,,612.680278,,52.8,
Malaysia,1996,,,,71.41811832,,713.337388,,58.3,
Malaysia,1997,,,,73.31963614,,786.743549,,60.8,
Malaysia,1998,,,,77.18383172,,835.095349,,59.9,
Malaysia,1999,,,,79.3021893,,881.146614,,58.6,
Malaysia,2000,,,,80.51927191,,969.199514,2.178526315789474,58.9,2.9781553953165223
Malaysia,2001,,,,81.66005666,,1065.40598,2.178157894736842,59.7,2.9793718106974345
Malaysia,2002,,,,83.13636633,,1163.55958,2.1781842105263163,59.0,3.069259668822672
Malaysia,2003,,,,84.04228364,,1306.97245,2.1782105263157896,60.1,3.045953192683282
Malaysia,2004,,,,85.23675238,,1530.92726,2.1781052631578945,63.5,2.923694786982113
Malaysia,2005,,,,87.77260621,,1777.64497,2.1635599875750247,64.8,2.9305755987829496
Malaysia,2006,,,,90.9405264,,2129.25697,2.173368431043942,65.5,3.0175155600042465
Malaysia,2007,,,,92.78421205,,2734.7271,2.212551705814559,69.5,2.9538110308472985
Malaysia,2008,949864.0,,1.638,97.83239896,,3523.44302,2.0827479392538346,75.1,2.713185450415433
Malaysia,2009,1019756.0,,1.561,98.40306356,,3898.24459,1.9380605357655785,74.5,2.559880457504267
Malaysia,2010,1130261.0,,1.539,100.0,,4629.24552,2.101650833597578,100.0,2.101650833597578
Malaysia,2011,1250536.0,,1.467,103.1744709,,5703.76028,2.1120894249995885,105.4,2.0674924944764492
Malaysia,2012,1557960.0,,1.485,104.8908515,,6405.05742,2.042637344286915,108.2,1.980166084546702
Malaysia,2013,1790079.0,,1.574,107.0988169,,7147.03519,1.9511197809914225,110.9,1.8842436444938542
Malaysia,2014,1612523.0,,1.659,110.4649225,,7781.06597,1.8827571231950984,112.9,1.8421489787428653
Malaysia,2015,1676518.0,,1.561,112.7895351,,8175.33285,1.6086799582427784,114.4,1.586033781598692
Malaysia,2016,2124942.0,,1.648,115.1474754,,8254.86859,1.6006554344588018,116.4,1.583431548653103
Malaysia,2017,2281321.0,,1.637,119.6050658,,8979.67653,1.5712109971251185,118.1,1.5912345020900374
Malaysia,2018,2943792.0,,1.619,120.6632228,,10085.6638,1.6378653911057242,120.3,1.6428106118320793
