observation_date,AEXJPUS
2000-01-01,107.8040
2001-01-01,121.5680
2002-01-01,125.2204
2003-01-01,115.9387
2004-01-01,108.1508
2005-01-01,110.1069
2006-01-01,116.3121
2007-01-01,117.7623
2008-01-01,103.3906
2009-01-01,93.6827
2010-01-01,87.7817
2011-01-01,79.6967
2012-01-01,79.8180
2013-01-01,97.5971
2014-01-01,105.7398
2015-01-01,121.0491
2016-01-01,108.6569
2017-01-01,112.0986
2018-01-01,110.3974
2019-01-01,109.0188
2020-01-01,106.7754
2021-01-01,109.8429
2022-01-01,131.4589
2023-01-01,140.5001
2024-01-01,151.4551
