Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,67.63787721,69.40686785,69.56295525,70.16129032,71.20187305,74.37565036,77.65348595,79.96878252,82.15400624,84.07908429,86.34235172,89.41207076,91.49323621,95.47346514,97.16441207,100,103.3038502,105.1248699,107.7003122,110.3798127,112.0447451,113.4755463,115.6867846,117.8980229,119.7970864,120.8116545,124.2715921,132.4661811,139.880333,144.3028096
United Kingdom,73.93194008,76.04031811,77.71407435,79.12890697,80.51599778,81.4684668,82.71684853,83.97447753,85.13038654,86.31403736,88.11725541,90.28111707,92.43573146,95.69077122,97.56796745,100,103.8561124,106.5285741,108.9698539,110.5511374,110.9580174,112.0769373,114.9435916,117.5790642,119.6227113,120.8063621,123.8487146,133.6600703,142.7408914,147.4107638
Indonesia,19.3878592,20.93370769,22.23707205,35.23487223,42.45021033,44.01603744,49.07793283,54.91826574,58.62926461,62.18457951,68.68485809,77.68853015,82.66569313,91.11963773,95.11652148,100,105.3560485,109.8647756,116.9098484,124.38615,132.3009907,136.9656651,142.1824114,146.7298991,151.1766728,154.0790159,156.48277,163.0698569,169.0535202,172.7414443
Japan,101.1307523,101.2688973,103.0388797,103.7209705,103.366974,102.6676151,101.9078177,100.9667051,100.7076833,100.6990493,100.4141253,100.664513,100.7249514,102.1150352,100.7335855,100,99.72754438,99.68359993,100.0175778,102.7772895,103.5946564,103.462823,103.9637898,104.99209,105.4842679,105.4579012,105.2118123,107.8396906,111.3640359,114.413781
Cambodia,44.50992708,47.69277028,51.48921684,59.11296956,61.48233975,60.99540422,60.62903636,60.7572465,61.32942551,63.97844994,68.21079019,72.17430468,78.45984053,97.36619212,96.15717903,100,105.4784475,108.5735186,111.7673444,116.0767452,117.4974456,121.0448577,124.5704532,127.6337468,130.113128,133.938838,137.8508362,145.217175,148.3066239,
"Korea, Republic of",60.19805648,63.16253599,65.96627791,70.92270703,71.49927832,73.11456556,76.08782485,78.18957,80.93783527,83.84404017,86.15293033,88.08477219,90.31734577,94.53868508,97.14464067,100,104.025965,106.3010868,107.6844333,109.057167,109.8274724,110.8946503,113.0508108,114.7192592,115.1586343,115.7773678,118.6698724,124.7095918,129.1959648,132.1955634
Maldives,62.00182242,65.87150863,70.85984908,69.86479799,71.92840037,71.08341659,71.56150756,74.55182852,73.61199005,72.37132465,73.31235089,75.31995194,80.4377721,90.12365293,94.20641356,100,111.2734146,123.3851871,128.0807708,130.7960854,132.0428424,132.7063701,136.4453368,136.263355,136.5631749,134.6925677,135.42415,138.5837896,142.6407821,144.6374646
Malaysia,69.01064107,71.41811832,73.31963614,77.18383172,79.3021893,80.51927191,81.66005666,83.13636633,84.04228364,85.23675238,87.77260621,90.9405264,92.78421205,97.83239896,98.40306356,100,103.1744709,104.8908515,107.0988169,110.4649225,112.7895351,115.1474754,119.6050658,120.6632228,121.4630895,120.0799867,123.0544909,127.2121313,130.3782703,132.7695384
Philippines,46.61408022,50.09899723,52.89966113,57.7849101,61.21678423,63.65145228,67.05394191,68.87966805,70.45643154,73.85892116,78.67219917,82.98755187,85.39419087,92.44813278,96.34854772,100,104.718417,107.8882057,110.6746211,114.6564986,115.4295041,116.8766424,120.2113525,126.5937898,129.621996,132.7240609,137.9363739,145.9658684,154.6917447,159.6613792
Singapore,81.4737781,82.60070753,84.25568389,84.03029801,84.04433933,85.18870716,86.03820721,85.70121545,86.13649647,87.56871142,87.94097151,88.79018012,90.66347682,96.67939795,97.24897691,100,105.2511562,110.0725484,112.6751014,113.8392263,113.2450133,112.6450301,113.2947252,113.7918446,114.4379888,114.2410274,116.8869675,124.0532539,130.0496454,133.1571962
Thailand,62.90721202,66.55904207,70.30351898,75.92409462,76.14027061,77.35240025,78.61085331,79.15901385,80.58731947,82.8108439,86.57076195,90.58545884,92.615969,97.68066353,96.85456244,100,103.8087906,106.9385213,109.2750063,111.3459226,110.3433361,110.5509468,111.2868092,112.4707868,113.26565,112.3074938,113.68932,111.8581486,121.3415403,122.9988296
United States of America,69.88282035,71.93122852,73.61275761,74.75543306,76.39110227,78.97072076,81.20256846,82.49046688,84.36307882,86.62167812,89.56053237,92.44970508,95.08699238,98.73747739,98.38641997,100,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089,112.4115573,115.1573032,117.2441955,118.6905016,124.2664138,134.2112062,139.7357936,143.857336
Viet Nam,40.16572038,42.44512501,43.80741236,46.9905457,48.92519457,48.08840873,47.88088584,49.7151204,51.32322964,55.30331914,59.88496268,64.32723948,69.6949931,85.80530323,91.56883061,100,118.6777323,129.47112,138.0067299,143.6436899,144.5503702,148.4073328,153.6316522,159.0696412,163.5169479,168.7837215,171.8804227,177.3058411,183.0734101,189.702668
