Country,Year,arrivals_from_china,exchange_rate,visa_free,peace_index,cpi,perception_score,gdp_china
Australia,1995,42600,,,,4.6277666,,612.680278
Australia,1996,54000,,,,2.615384615,,713.337388
Australia,1997,65843,,,,0.2248875562,,786.743549
Australia,1998,76544,,,,0.8601346298,,835.095349
Australia,1999,92585,,,,1.483129403,,881.146614
Australia,2000,120259,,,,4.457435148,,969.199514
Australia,2001,157955,,,,4.407135362,,1065.40598
Australia,2002,190016,,,,2.981574539,,1163.55958
Australia,2003,176128,,,,2.732595966,,1306.97245
Australia,2004,251300,,,,2.343255225,,1530.92726
Australia,2005,285031,,,,2.691831683,,1777.64497
Australia,2006,308484,,,,3.555287737,,2129.25697
Australia,2007,357557,,,,2.327611289,,2734.7271
Australia,2008,356428,,,,4.35029855,,3523.44302
Australia,2009,356240,,,,1.771117166,,3898.24459
Australia,2010,445860,,,,2.918340027,,4629.24552
Australia,2011,533370,,,,3.303850156,,5703.76028
Australia,2012,618820,,,,1.762780156,,6405.05742
Australia,2013,720750,,,,2.449888641,,7147.03519
Australia,2014,851020,,,,2.487922705,,7781.06597
Australia,2015,1031910,,,,1.508366722,,8175.33285
Australia,2016,1208250,,,,1.276990945,,8254.86859
Australia,2017,1356890,,,,1.948647409,,8979.67653
Australia,2018,1432192,,,,1.911400944,,10085.6638
Australia,2019,1438666,,,,1.610767873,,10342.901
Australia,2020,207696,,,,0.8469055375,,10627.4638
Australia,2021,6531,,,,2.863910422,,12887.4357
Australia,2022,89262,,,,6.594096713,,12970.6056
Australia,2023,535790,,,,5.597014925,,12951.1782
Australia,2024,891550,,,,3.161614283,,13303.1482
Cambodia,2023,848952,,,,2.127467966,,12951.1782
Cambodia,2024,547798,,,,,,13303.1482
Cambodia,1995,22886,,,,,,612.680278
Cambodia,1996,22029,,,,,,713.337388
Cambodia,1997,17282,,,,,,786.743549
Cambodia,1998,18035,,,,,,835.095349
Cambodia,1999,26805,,,,,,881.146614
Cambodia,2000,30586,,,,,,969.199514
Cambodia,2001,32002,,,,,,1065.40598
Cambodia,2002,54045,,,,0.211466568,,1163.55958
Cambodia,2003,38664,,,,0.9417461178,,1306.97245
Cambodia,2004,46325,,,,4.319336774,,1530.92726
Cambodia,2005,59153,,,,6.61525912,,1777.64497
Cambodia,2006,80540,,,,5.810685505,,2129.25697
Cambodia,2007,118417,,,,8.708827706,,2734.7271
Cambodia,2008,129626,,,,24.09685193,,3523.44302
Cambodia,2009,128210,,,,-1.241717542,,3898.24459
Cambodia,2010,177636,,,,3.996395281,,4629.24552
Cambodia,2011,247197,,,,5.478447496,,5703.76028
Cambodia,2012,333894,,,,2.934316093,,6405.05742
Cambodia,2013,463123,,,,2.941625095,,7147.03519
Cambodia,2014,560335,,,,3.855688614,,7781.06597
Cambodia,2015,694712,,,,1.223931955,,8175.33285
Cambodia,2016,830003,,,,3.019139751,,8254.86859
Cambodia,2017,1210782,,,,2.912635574,,8979.67653
Cambodia,2018,2024443,,,,2.459085154,,10085.6638
Cambodia,2019,2361849,,,,1.942575008,,10342.901
Cambodia,2020,329673,,,,2.940295143,,10627.4638
Cambodia,2021,45775,,,,2.920734776,,12887.4357
Cambodia,2022,106875,,,,5.343702649,,12970.6056
Indonesia,2023,787924,,,,3.669386549,,12951.1782
Indonesia,2024,1197534,,,,2.181512736,,13303.1482
Indonesia,1995,,,,,9.420303006,,612.680278
Indonesia,1996,,,,,7.973280965,,713.337388
Indonesia,1997,,,,,6.226151549,,786.743549
Indonesia,1998,,,,,58.45104135,,835.095349
Indonesia,1999,17875,,,,20.47783244,,881.146614
Indonesia,2000,16266,,,,3.688620371,,969.199514
Indonesia,2001,18028,,,,11.50011606,,1065.40598
Indonesia,2002,19840,,,,11.90012003,,1163.55958
Indonesia,2003,31497,,,,6.757312563,,1306.97245
Indonesia,2004,39936,,,,6.064061891,,1530.92726
Indonesia,2005,128681,,,,10.45320019,,1777.64497
Indonesia,2006,182341,,,,13.10867099,,2129.25697
Indonesia,2007,269216,,,,6.40656088,,2734.7271
Indonesia,2008,354641,,,,10.22666633,,3523.44302
Indonesia,2009,444598,,,,4.386413118,,3898.24459
Indonesia,2010,511188,,,,5.13420639,,4629.24552
Indonesia,2011,594997,,,,5.356048491,,5703.76028
Indonesia,2012,726088,,,,4.279514269,,6405.05742
Indonesia,2013,858140,,,,6.412494579,,7147.03519
Indonesia,2014,1052705,,,,6.394928824,,7781.06597
Indonesia,2015,1260700,,,,6.363120612,,8175.33285
Indonesia,2016,1556771,,,,3.525804528,,8254.86859
Indonesia,2017,2093171,,,,3.808798577,,8979.67653
Indonesia,2018,2139161,,,,3.198347559,,10085.6638
Indonesia,2019,2072079,,,,3.030584609,,10342.901
Indonesia,2020,239768,,,,1.919835273,,10627.4638
Indonesia,2021,54713,,,,1.56007883,,12887.4357
Indonesia,2022,169378,,,,4.209464637,,12970.6056
Japan,2023,2425157,,,,3.268133659,,12951.1782
Japan,2024,6981342,,,,2.738536816,,13303.1482
Japan,1995,220715,,,,-0.127899045,,612.680278
Japan,1996,241525,,,,0.1366003586,,713.337388
Japan,1997,260627,,,,1.747804587,,786.743549
Japan,1998,267180,,,,0.6619741914,,835.095349
Japan,1999,294937,,,,-0.3412969283,,881.146614
Japan,2000,351788,,,,-0.6765786836,,969.199514
Japan,2001,391384,,,,-0.7400555042,,1065.40598
Japan,2002,452420,,,,-0.9234940269,,1163.55958
Japan,2003,448782,,,,-0.2565418163,,1306.97245
Japan,2004,616009,,,,-0.008573388203,,1530.92726
Japan,2005,652820,,,,-0.2829460688,,1777.64497
Japan,2006,811675,,,,0.2493551161,,2129.25697
Japan,2007,942439,,,,0.0600394545,,2734.7271
Japan,2008,1000416,,,,1.380078862,,3523.44302
Japan,2009,1006085,,,,-1.35283673,,3898.24459
Japan,2010,1412875,,,,-0.7282432075,,4629.24552
Japan,2011,1043246,,,,-0.2724556161,,5703.76028
Japan,2012,1425100,,,,-0.04406451044,,6405.05742
Japan,2013,1314437,,,,0.3350379122,,7147.03519
Japan,2014,2409158,,,,2.759226714,,7781.06597
Japan,2015,4993689,,,,0.7952796306,,8175.33285
Japan,2016,6373564,,,,-0.1272588445,,8254.86859
Japan,2017,7355818,,,,0.4841997961,,8979.67653
Japan,2018,8380034,,,,0.989094598,,10085.6638
Japan,2019,9594394,,,,0.4687761594,,10342.901
Japan,2020,1069256,,,,-0.02499583403,,10627.4638
Japan,2021,42239,,,,-0.2333527794,,12887.4357
Japan,2022,189125,,,,2.497702782,,12970.6056
"Korea, Republic of",2023,2019424,,,,3.59745625,,12951.1782
"Korea, Republic of",2024,,,,,2.321743286,,13303.1482
"Korea, Republic of",1995,178359,,,,4.480741086,,612.680278
"Korea, Republic of",1996,199604,,,,4.924543543,,713.337388
"Korea, Republic of",1997,214244,,,,4.438931846,,786.743549
"Korea, Republic of",1998,210662,,,,7.513580081,,835.095349
"Korea, Republic of",1999,316639,,,,0.8129572544,,881.146614
"Korea, Republic of",2000,442794,,,,2.259165801,,969.199514
"Korea, Republic of",2001,482227,,,,4.066575879,,1065.40598
"Korea, Republic of",2002,539466,,,,2.762262103,,1163.55958
"Korea, Republic of",2003,513236,,,,3.514874515,,1306.97245
"Korea, Republic of",2004,627264,,,,3.590662989,,1530.92726
"Korea, Republic of",2005,709836,,,,2.753791627,,1777.64497
"Korea, Republic of",2006,896969,,,,2.242340285,,2129.25697
"Korea, Republic of",2007,1068925,,,,2.534573821,,2734.7271
"Korea, Republic of",2008,1167891,,,,4.673896555,,3523.44302
"Korea, Republic of",2009,1342317,,,,2.756496545,,3898.24459
"Korea, Republic of",2010,1875157,,,,2.939286527,,4629.24552
"Korea, Republic of",2011,2220196,,,,4.025965004,,5703.76028
"Korea, Republic of",2012,2836892,,,,2.187071044,,6405.05742
"Korea, Republic of",2013,4326869,,,,1.301347545,,7147.03519
"Korea, Republic of",2014,6126865,,,,1.274774464,,7781.06597
"Korea, Republic of",2015,5984170,,,,0.7063317725,,8175.33285
"Korea, Republic of",2016,8067722,,,,0.9716857399,,8254.86859
"Korea, Republic of",2017,4169353,,,,1.944332308,,8979.67653
"Korea, Republic of",2018,4789512,,,,1.47583935,,10085.6638
"Korea, Republic of",2019,6023021,,,,0.3830003036,,10342.901
"Korea, Republic of",2020,686430,,,,0.5372880234,,10627.4638
"Korea, Republic of",2021,170215,,,,2.498333333,,12887.4357
"Korea, Republic of",2022,227358,,,,5.089513651,,12970.6056
Malaysia,2023,3725894,,,,2.488865601,,12951.1782
Malaysia,2024,1613312,,,,1.834100204,,13303.1482
Malaysia,1995,,,,,,,612.680278
Malaysia,1996,,,,,,,713.337388
Malaysia,1997,,,,,,,786.743549
Malaysia,1998,,,,,,,835.095349
Malaysia,1999,,,,,,,881.146614
Malaysia,2000,,,,,,,969.199514
Malaysia,2001,,,,,1.416784732,,1065.40598
