Country,Year,arrivals_from_china,exchange_rate,visa_free,peace_index,cpi,perception_score,gdp_china,cpi_index
Australia,1995,42600.0,,,,4.6277666,,612.680278,67.63787721189692
Australia,1996,54000.0,,,,2.615384615,,713.337388,69.40686784640945
Australia,1997,65843.0,,,,0.2248875562,,786.743549,69.5629552553442
Australia,1998,76544.0,,,,0.8601346298,,835.095349,70.16129032300769
Australia,1999,92585.0,,,,1.483129403,,881.146614,71.20187304931241
Australia,2000,120259.0,,,,4.457435148,,969.199514,74.37565036464682
Australia,2001,157955.0,,,,4.407135362,,1065.40598,77.65348595258465
Australia,2002,190016.0,,,,2.981574539,,1163.55958,79.96878251839286
Australia,2003,176128.0,,,,2.732595966,,1306.97245,82.15400624354977
Australia,2004,251300.0,,,,2.343255225,,1530.92726,84.07908428739859
Australia,2005,285031.0,,,,2.691831683,,1777.64497,86.34235171702306
Australia,2006,308484.0,,,,3.555287737,,2129.25697,89.4120707594558
Australia,2007,357557.0,,,,2.327611289,,2734.7271,91.49323621218157
Australia,2008,356428.0,,,,4.35029855,,3523.44302,95.47346514046818
Australia,2009,356240.0,,,,1.771117166,,3898.24459,97.16441207054604
Australia,2010,445860.0,,,,2.918340027,,4629.24552,100.0
Australia,2011,533370.0,,,,3.303850156,,5703.76028,103.30385015600001
Australia,2012,618820.0,,,,1.762780156,,6405.05742,105.12486992693395
Australia,2013,720750.0,,,,2.449888641,,7147.03519,107.70031217413994
Australia,2014,851020.0,,,,2.487922705,,7781.06597,110.37981269407625
Australia,2015,1031910.0,,,,1.508366722,,8175.33285,112.04474505655963
Australia,2016,1208250.0,,,,1.276990945,,8254.86859,113.47554630528023
Australia,2017,1356890.0,,,,1.948647409,,8979.67653,115.68678459820667
Australia,2018,1432192.0,,,,1.911400944,,10085.6638,117.89802289110004
Australia,2019,1438666.0,,,,1.610767873,,10342.901,119.79708636673207
Australia,2020,207696.0,,,,0.8469055375,,10627.4638,120.81165452493558
Australia,2021,6531.0,,,,2.863910422,,12887.4357,124.27159208986585
Australia,2022,89262.0,,,,6.594096713,,12970.6056,132.46618105905645
Australia,2023,535790.0,,,,5.597014925,,12951.1782,139.88033298350936
Australia,2024,891550.0,,,,3.161614283,,13303.1482,144.30280957022393
Cambodia,2023,848952.0,,,,2.127467966,,12951.1782,148.30662390458193
Cambodia,2024,547798.0,,,,,,13303.1482,
Cambodia,1995,22886.0,,,,,,612.680278,
Cambodia,1996,22029.0,,,,,,713.337388,
Cambodia,1997,17282.0,,,,,,786.743549,
Cambodia,1998,18035.0,,,,,,835.095349,
Cambodia,1999,26805.0,,,,,,881.146614,
Cambodia,2000,30586.0,,,,,,969.199514,
Cambodia,2001,32002.0,,,,,,1065.40598,60.62903635863491
Cambodia,2002,54045.0,,,,0.211466568,,1163.55958,60.75724650103399
Cambodia,2003,38664.0,,,,0.9417461178,,1306.97245,61.329425511239656
Cambodia,2004,46325.0,,,,4.319336774,,1530.92726,63.978449940629574
Cambodia,2005,59153.0,,,,6.61525912,,1777.64497,68.21079018516171
Cambodia,2006,80540.0,,,,5.810685505,,2129.25697,72.17430468329687
Cambodia,2007,118417.0,,,,8.708827706,,2734.7271,78.45984052616868
