Country,Year,arrivals_from_china,visa_free,peace_index,cpi,cpi_index,perception_score,gdp_china,exchange_rate
Australia,1995,42600.0,,,4.6277666,67.63787721,,612.680278,
Australia,1996,54000.0,,,2.615384615,69.40686785,,713.337388,
Australia,1997,65843.0,,,0.2248875562,69.56295525,,786.743549,
Australia,1998,76544.0,,,0.8601346298,70.16129032,,835.095349,
Australia,1999,92585.0,,,1.483129403,71.20187305,,881.146614,
Australia,2000,120259.0,,,4.457435148,74.37565036,,969.199514,4.799554736939836
Australia,2001,157955.0,,,4.407135362,77.65348595,,1065.40598,4.280965169639128
Australia,2002,190016.0,,,2.981574539,79.96878252,,1163.55958,4.497049135794085
Australia,2003,176128.0,,,2.732595966,82.15400624,,1306.97245,5.368132790494038
Australia,2004,251300.0,,,2.343255225,84.07908429,,1530.92726,6.08699009562402
Australia,2005,285031.0,,,2.691831683,86.34235172,,1777.64497,6.257172096226262
Australia,2006,308484.0,,,3.555287737,89.41207076,,2129.25697,6.003358014446917
Australia,2007,357557.0,,,2.327611289,91.49323621,,2734.7271,6.364300073844893
Australia,2008,356428.0,,1.43,4.35029855,95.47346514,,3523.44302,5.827735505406136
Australia,2009,356240.0,,1.476,1.771117166,97.16441207,,3898.24459,5.327374522945649
Australia,2010,445860.0,,1.467,2.918340027,100.0,,4629.24552,6.20973360956472
Australia,2011,533370.0,,1.455,3.303850156,103.3038502,,5703.76028,6.666575884468989
Australia,2012,618820.0,,1.494,1.762780156,105.1248699,,6405.05742,6.532712017740447
Australia,2013,720750.0,,1.438,2.449888641,107.7003122,,7147.03519,5.93506875491588
Australia,2014,851020.0,,1.414,2.487922705,110.3798127,,7781.06597,5.554537489100065
Australia,2015,1031910.0,,1.329,1.508366722,112.0447451,,8175.33285,4.719965414336417
Australia,2016,1208250.0,,1.465,1.276990945,113.4755463,,8254.86859,4.936017703104803
Australia,2017,1356890.0,,1.425,1.948647409,115.6867846,,8979.67653,5.178661177967936
Australia,2018,1432192.0,,1.435,1.911400944,117.8980229,,10085.6638,4.937940842625916
Australia,2019,1438666.0,,1.419,1.610767873,119.7970864,,10342.901,4.802272209892707
Australia,2020,207696.0,,1.386,0.8469055375,120.8116545,,10627.4638,4.751407824961291
Australia,2021,6531.0,,1.47,2.863910422,124.2715921,,12887.4357,4.845765055393447
Australia,2022,89262.0,,1.565,6.594096713,132.4661811,,12970.6056,4.667521598380473
Australia,2023,535790.0,,1.525,5.597014925,139.880333,,12951.1782,4.7043197105981225
Australia,2024,891550.0,,1.536,3.161614283,144.3028096,,13303.1482,4.748514750183076
Cambodia,1995,22886.0,,,,44.50992708,,612.680278,
Cambodia,1996,22029.0,,,,47.69277028,,713.337388,
Cambodia,1997,17282.0,,,,51.48921684,,786.743549,
Cambodia,1998,18035.0,,,,59.11296956,,835.095349,
Cambodia,1999,26805.0,,,,61.48233975,,881.146614,
Cambodia,2000,30586.0,,,,60.99540422,,969.199514,0.0021554123543578
Cambodia,2001,32002.0,,,,60.62903636,,1065.40598,0.0021134564645598
